"ovrlp_pct","Count"
"0.0",3682976
"1.0000",162565
"0.0000",90394
"0",60257
"0.5000",40497
"0.6667",25630
"0.7500",16588
"0.3333",15707
"0.8000",11295
"0.2500",8930
"0.6000",7373
"0.8333",7339
"0.2000",6186
"0.4000",5413
"0.8571",5146
"0.1667",4578
"0.7143",4493
"0.1429",3702
"0.8750",3550
"0.1250",3167
"0.5714",2954
"0.7778",2777
"0.2857",2772
"0.1111",2675
"0.8889",2585
"0.6250",2556
"0.4286",2428
"0.1000",2364
"0.0909",2157
"0.7000",1860
"0.0833",1836
"0.8182",1821
"0.9000",1813
"0.2222",1796
"0.3750",1738
"0.0769",1670
"0.0714",1562
"0.7273",1540
"0.5556",1485
"0.0667",1289
"0.7692",1268
"0.4444",1254
"0.1818",1254
"0.9091",1232
"0.0625",1227
"0.8462",1159
"0.3000",1139
"0.7857",1121
"0.6364",1095
"0.0588",1080
"0.2727",1039
"0.6923",971
"0.1538",963
"0.0556",960
"0.7333",930
"0.0526",911
"0.9167",907
"0.3636",854
"0.5455",832
"0.1333",819
"0.0500",800
"0.7647",787
"0.8125",782
"0.4545",750
"0.2308",738
"0.0476",729
"0.8667",710
"0.9231",704
"0.0455",702
"0.5833",697
"0.1176",696
"0.2143",688
"0.7895",674
"0.6154",674
"0.4167",671
"0.3077",663
"0.8235",658
"0.7368",647
"0.6429",641
"0.7222",629
"0.6875",602
"0.0435",601
"0.1875",593
"0.7619",590
"0.1053",585
"0.7059",571
"0.0952",569
"0.8095",561
"0.0417",557
"0.9286",555
"0.7727",555
"0.0400",550
"0.7894",549
"0.7852",543
"0.7688",536
"0.3846",534
"0.7917",532
"0.7848",532
"0.7855",531
"0.7826",531
"0.7751",530
"0.7931",526
"0.4615",526
"0.7916",524
"0.7800",523
"0.7724",523
"0.7657",520
"0.8261",519
"0.8077",519
"0.7831",519
"0.7661",519
"0.7659",518
"0.7940",516
"0.7974",515
"0.7703",515
"0.7736",514
"0.7684",514
"0.7660",514
"0.7842",513
"0.7829",513
"0.7758",513
"0.7677",512
"0.7803",511
"0.7772",511
"0.7515",511
"0.7488",511
"0.7759",510
"0.7652",510
"0.7610",510
"0.7566",510
"0.7393",510
"0.5385",510
"0.7822",509
"0.7643",509
"0.7498",509
"0.7962",508
"0.7747",507
"0.7493",507
"0.7391",507
"0.7981",506
"0.7900",506
"0.7801",506
"0.7308",506
"0.8421",505
"0.7993",505
"0.7760",505
"0.7604",505
"0.7462",505
"0.7777",504
"0.7655",504
"0.7431",504
"0.7821",502
"0.7763",502
"0.7743",502
"0.7861",501
"0.7719",501
"0.7490",501
"0.1765",501
"0.7932",500
"0.7885",500
"0.7844",500
"0.7839",500
"0.7569",500
"0.7491",500
"0.7487",500
"0.7997",499
"0.7965",499
"0.7863",499
"0.7815",499
"0.7814",499
"0.7768",498
"0.7710",498
"0.7589",498
"0.7891",497
"0.7718",497
"0.7686",497
"0.7599",497
"0.7483",497
"0.7480",497
"0.7909",496
"0.7615",496
"0.7451",496
"0.7442",496
"0.7414",496
"0.7328",496
"0.7850",495
"0.7795",495
"0.7792",495
"0.7774",495
"0.7714",495
"0.7654",495
"0.7473",495
"0.7929",494
"0.7893",494
"0.7877",494
"0.7806",494
"0.7696",494
"0.8004",493
"0.7956",493
"0.7898",493
"0.7630",493
"0.7427",493
"0.7903",492
"0.7785",492
"0.7694",492
"0.7927",491
"0.7673",491
"0.7535",491
"0.7492",491
"0.7953",490
"0.7939",490
"0.7911",490
"0.7838",490
"0.7670",490
"0.7614",490
"0.7970",489
"0.7865",489
"0.7664",489
"0.7650",489
"0.7600",489
"0.7478",489
"0.7435",489
"0.8824",488
"0.7752",488
"0.7653",488
"0.7584",488
"0.7963",487
"0.7734",487
"0.7665",487
"0.7612",487
"0.8091",486
"0.7869",486
"0.7791",486
"0.7769",486
"0.7676",486
"0.7675",486
"0.7636",486
"0.7463",486
"0.7363",486
"0.8148",485
"0.7985",485
"0.7946",485
"0.7921",485
"0.7754",485
"0.7753",485
"0.7689",485
"0.7602",485
"0.7573",485
"0.7475",485
"0.7407",485
"0.8049",484
"0.7959",484
"0.7867",484
"0.7834",484
"0.7781",484
"0.7748",484
"0.7726",484
"0.7611",484
"0.8040",483
"0.7980",483
"0.7904",483
"0.7853",483
"0.7841",483
"0.7833",483
"0.7828",483
"0.7783",483
"0.7775",483
"0.7741",483
"0.7732",483
"0.7722",483
"0.7477",483
"0.7349",483
"0.7892",482
"0.7881",482
"0.7765",482
"0.7700",482
"0.7526",482
"0.7793",481
"0.7773",481
"0.7745",481
"0.7695",481
"0.7678",481
"0.7582",481
"0.7444",481
"0.7394",481
"0.7880",480
"0.7830",480
"0.7705",480
"0.7704",480
"0.7658",480
"0.7587",480
"0.7586",480
"0.7390",480
"0.8076",479
"0.7922",479
"0.7920",479
"0.7884",479
"0.7840",479
"0.7767",479
"0.7725",479
"0.7711",479
"0.7708",479
"0.7707",479
"0.7581",479
"0.7497",479
"0.2667",479
"0.7992",478
"0.7990",478
"0.7986",478
"0.7847",478
"0.7805",478
"0.7798",478
"0.7713",478
"0.7698",478
"0.7594",478
"0.7578",478
"0.7465",478
"0.8045",477
"0.7926",477
"0.7876",477
"0.7832",477
"0.7770",477
"0.7757",477
"0.7716",477
"0.7642",477
"0.7606",477
"0.7597",477
"0.7481",477
"0.7452",477
"0.8022",476
"0.7994",476
"0.7882",476
"0.7859",476
"0.7755",476
"0.7668",476
"0.7640",476
"0.7609",476
"0.7538",476
"0.7494",476
"0.6842",476
"0.8024",475
"0.7918",475
"0.7889",475
"0.7856",475
"0.7813",475
"0.7784",475
"0.7762",475
"0.7709",475
"0.7567",475
"0.7436",475
"0.7385",475
"0.8079",474
"0.7971",474
"0.7910",474
"0.7730",474
"0.7721",474
"0.7717",474
"0.7669",474
"0.7641",474
"0.7622",474
"0.7618",474
"0.7531",474
"0.7527",474
"0.7514",474
"0.7513",474
"0.7495",474
"0.7489",474
"0.7472",474
"0.8074",473
"0.8054",473
"0.8033",473
"0.8016",473
"0.7961",473
"0.7914",473
"0.7796",473
"0.7794",473
"0.7750",473
"0.7701",473
"0.7682",473
"0.7646",473
"0.7617",473
"0.7560",473
"0.7529",473
"0.7474",473
"0.7428",473
"0.7949",472
"0.7823",472
"0.7706",472
"0.7648",472
"0.7528",472
"0.7430",472
"0.8097",471
"0.8037",471
"0.7976",471
"0.7973",471
"0.7875",471
"0.7818",471
"0.7690",471
"0.7663",471
"0.7632",471
"0.7555",471
"0.7499",471
"0.7429",471
"0.7373",471
"0.8087",470
"0.7989",470
"0.7802",470
"0.7683",470
"0.7651",470
"0.7625",470
"0.7605",470
"0.7996",469
"0.7846",469
"0.7810",469
"0.7799",469
"0.7679",469
"0.7638",469
"0.7624",469
"0.7613",469
"0.7561",469
"0.7541",469
"0.8014",468
"0.7958",468
"0.7942",468
"0.7936",468
"0.7908",468
"0.7887",468
"0.7742",468
"0.7691",468
"0.7687",468
"0.7598",468
"0.7536",468
"0.7457",468
"0.7438",468
"0.7379",468
"0.7364",468
"0.8080",467
"0.8055",467
"0.7937",467
"0.7923",467
"0.7723",467
"0.7551",467
"0.7540",467
"0.7521",467
"0.7484",467
"0.7991",466
"0.7934",466
"0.7874",466
"0.7787",466
"0.7764",466
"0.7697",466
"0.7583",466
"0.7542",466
"0.7509",466
"0.7448",466
"0.0870",466
"0.8500",465
"0.8056",465
"0.8038",465
"0.7968",465
"0.7888",465
"0.7824",465
"0.7786",465
"0.7672",465
"0.7554",465
"0.7553",465
"0.7546",465
"0.7496",465
"0.7479",465
"0.7371",465
"0.7353",465
"0.8046",464
"0.8030",464
"0.7851",464
"0.7804",464
"0.7776",464
"0.7756",464
"0.7737",464
"0.7556",464
"0.7516",464
"0.7486",464
"0.0385",464
"0.7975",463
"0.7952",463
"0.7731",463
"0.7693",463
"0.7644",463
"0.7579",463
"0.7563",463
"0.7558",463
"0.7518",463
"0.7317",463
"0.8139",462
"0.8129",462
"0.8012",462
"0.7930",462
"0.7868",462
"0.7862",462
"0.7836",462
"0.7788",462
"0.7530",462
"0.7505",462
"0.7485",462
"0.7418",462
"0.7256",462
"0.8017",461
"0.8010",461
"0.7984",461
"0.7979",461
"0.7797",461
"0.7790",461
"0.7761",461
"0.7681",461
"0.7458",461
"0.7410",461
"0.7304",461
"0.8137",460
"0.8078",460
"0.8070",460
"0.8042",460
"0.7872",460
"0.7837",460
"0.7816",460
"0.7405",460
"0.7367",460
"0.8178",459
"0.8089",459
"0.8069",459
"0.7902",459
"0.7866",459
"0.7809",459
"0.7782",459
"0.7733",459
"0.7702",459
"0.7680",459
"0.7666",459
"0.7628",459
"0.7590",459
"0.7577",459
"0.7571",459
"0.7476",459
"0.7464",459
"0.7460",459
"0.7455",459
"0.7406",459
"0.8108",458
"0.8011",458
"0.7948",458
"0.7720",458
"0.7564",458
"0.7550",458
"0.7423",458
"0.7417",458
"0.7395",458
"0.8112",457
"0.7919",457
"0.7871",457
"0.7744",457
"0.7729",457
"0.7649",457
"0.7629",457
"0.7592",457
"0.7565",457
"0.7511",457
"0.7422",457
"0.7411",457
"0.7299",457
"0.8140",456
"0.8092",456
"0.8066",456
"0.7995",456
"0.7933",456
"0.7878",456
"0.7820",456
"0.7637",456
"0.7574",456
"0.7548",456
"0.7433",456
"0.8118",455
"0.7811",455
"0.7749",455
"0.7627",455
"0.7572",455
"0.7534",455
"0.7532",455
"0.7355",455
"0.7271",455
"0.8179",454
"0.8162",454
"0.8083",454
"0.7890",454
"0.7883",454
"0.7879",454
"0.7854",454
"0.7819",454
"0.7735",454
"0.7635",454
"0.7621",454
"0.7595",454
"0.7533",454
"0.7437",454
"0.7381",454
"0.7370",454
"0.7272",454
"0.8257",453
"0.8099",453
"0.8009",453
"0.7907",453
"0.7817",453
"0.7766",453
"0.7671",453
"0.7645",453
"0.7608",453
"0.7404",453
"0.7314",453
"0.7311",453
"0.7302",453
"0.8249",452
"0.8187",452
"0.8184",452
"0.8034",452
"0.7954",452
"0.7947",452
"0.7925",452
"0.7849",452
"0.7808",452
"0.7699",452
"0.7575",452
"0.7537",452
"0.7377",452
"0.7358",452
"0.7278",452
"0.8165",451
"0.8135",451
"0.8107",451
"0.7966",451
"0.7955",451
"0.7945",451
"0.7906",451
"0.7886",451
"0.7740",451
"0.7544",451
"0.7426",451
"0.8201",450
"0.7835",450
"0.7656",450
"0.7603",450
"0.7359",450
"0.8065",449
"0.8060",449
"0.8007",449
"0.7943",449
"0.7812",449
"0.7674",449
"0.7576",449
"0.7557",449
"0.8167",448
"0.8122",448
"0.7912",448
"0.7780",448
"0.7517",448
"0.7324",448
"0.7309",448
"0.7279",448
"0.7171",448
"0.3571",448
"0.8214",447
"0.8041",447
"0.7950",447
"0.7924",447
"0.7807",447
"0.7789",447
"0.7738",447
"0.7607",447
"0.7552",447
"0.7506",447
"0.7466",447
"0.7408",447
"0.7326",447
"0.7300",447
"0.7212",447
"0.6471",447
"0.8207",446
"0.7957",446
"0.7913",446
"0.7771",446
"0.7620",446
"0.7596",446
"0.7585",446
"0.7519",446
"0.7468",446
"0.7440",446
"0.7420",446
"0.7403",446
"0.7316",446
"0.8164",445
"0.8143",445
"0.8133",445
"0.8090",445
"0.8026",445
"0.7983",445
"0.7896",445
"0.7779",445
"0.7746",445
"0.7633",445
"0.7539",445
"0.7459",445
"0.7454",445
"0.8270",444
"0.8113",444
"0.8021",444
"0.7967",444
"0.7873",444
"0.7858",444
"0.7470",444
"0.7469",444
"0.7467",444
"0.7351",444
"0.7297",444
"0.8276",443
"0.8196",443
"0.8142",443
"0.8047",443
"0.7999",443
"0.7960",443
"0.7928",443
"0.7827",443
"0.7685",443
"0.7626",443
"0.7525",443
"0.7419",443
"0.7335",443
"0.7325",443
"0.7320",443
"0.8106",442
"0.8058",442
"0.8036",442
"0.7951",442
"0.7860",442
"0.7825",442
"0.7728",442
"0.7715",442
"0.7512",442
"0.7398",442
"0.7376",442
"0.7275",442
"0.8329",441
"0.7982",441
"0.7712",441
"0.7601",441
"0.7434",441
"0.7340",441
"0.8287",440
"0.8283",440
"0.8226",440
"0.8057",440
"0.8025",440
"0.8019",440
"0.7845",440
"0.7568",440
"0.7549",440
"0.7402",440
"0.7396",440
"0.7392",440
"0.7382",440
"0.7344",440
"0.7249",440
"0.8259",439
"0.7739",439
"0.7616",439
"0.7588",439
"0.7383",439
"0.8222",438
"0.8177",438
"0.8134",438
"0.8093",438
