"best_geo","Count"
"0",3898339
"1",225721
"2",182672
"3",140904
"4",115873
"5",97921
"6",85143
"7",73964
"8",66023
"9",58628
"10",52233
"11",47720
"12",43304
"13",39792
"14",36085
"15",33118
"16",30651
"17",27928
"18",25716
"19",23824
"20",21784
"21",20325
"22",18756
"23",17898
"24",16523
"25",15363
"26",14246
"27",13447
"28",12567
"29",11554
"30",10976
"31",10624
"32",9751
"33",9191
"34",8662
"35",8293
"36",7782
"37",7286
"38",6924
"39",6537
"40",6281
"41",6044
"42",5621
"43",5351
"44",5081
"45",4703
"46",4511
"47",4417
"48",3997
"49",3931
"50",3745
"51",3452
"52",3369
"53",3224
"54",3021
"55",2942
"56",2711
"57",2673
"58",2571
"59",2453
"60",2265
"61",2257
"62",2099
"63",2027
"64",1871
"66",1790
"65",1786
"67",1677
"68",1580
"69",1533
"70",1472
"71",1387
"72",1299
"73",1251
"76",1178
"74",1170
"75",1161
"77",1078
"78",1017
"81",950
"82",905
"80",895
"79",890
"83",869
"85",838
"84",827
"86",807
"87",735
"88",719
"91",668
"90",623
"89",621
"92",610
"93",598
"97",558
"95",553
"94",546
"96",506
"98",502
"99",473
"100",458
"101",451
"102",424
"106",386
"104",386
"105",382
"103",380
"107",335
"110",323
"109",311
"111",292
"108",290
"113",288
"117",276
"115",273
"112",263
"116",247
"114",246
"118",230
"119",220
"121",203
"120",203
"123",189
"126",186
"124",185
"122",173
"127",166
"125",164
"130",156
"128",156
"131",143
"132",140
"129",139
"135",133
"141",122
"136",121
"137",119
"133",119
"134",106
"139",104
"144",101
"142",101
"140",95
"138",93
"145",87
"143",86
"147",81
"148",78
"150",76
"151",72
"158",71
"146",69
"153",67
"149",66
"156",63
"155",62
"152",62
"154",61
"161",58
"157",56
"160",55
"159",51
"164",50
"162",47
"163",44
"165",42
"169",40
"167",39
"175",37
"166",37
"174",34
"170",34
"173",33
"180",31
"168",31
"171",30
"179",29
"178",29
"185",28
"183",28
"182",28
"184",27
"176",27
"172",26
"190",25
"194",24
"187",24
"197",23
"181",23
"196",22
"188",22
"191",21
"177",21
"203",20
"195",20
"200",19
"192",19
"209",18
"202",18
"199",18
"193",18
"189",18
"204",17
"201",17
"205",16
"186",16
"212",15
"198",15
"213",14
"208",14
"207",14
"241",13
"215",13
"245",12
"231",12
"227",12
"223",12
"214",12
"226",11
"218",11
"261",10
"225",10
"220",10
"219",10
"217",10
"233",9
"229",9
"228",9
"222",9
"221",9
"206",9
"247",8
"236",8
"211",8
"210",8
"243",7
"238",7
"270",6
"265",6
"262",6
"259",6
"251",6
"249",6
"235",6
"234",6
"230",6
"216",6
"300",5
"281",5
"275",5
"267",5
"260",5
"258",5
"257",5
"255",5
"248",5
"242",5
"240",5
"239",5
"237",5
"343",4
"335",4
"296",4
"276",4
"268",4
"256",4
"244",4
"347",3
"303",3
"295",3
"293",3
"283",3
"278",3
"269",3
"264",3
"263",3
"253",3
"252",3
"232",3
"224",3
"433",2
"348",2
"341",2
"340",2
"337",2
"336",2
"328",2
"319",2
"318",2
"316",2
"313",2
"309",2
"308",2
"307",2
"306",2
"304",2
"302",2
"297",2
"292",2
"288",2
"279",2
"277",2
"274",2
"273",2
"272",2
"271",2
"254",2
"246",2
"465",1
"438",1
"437",1
"426",1
"425",1
"418",1
"415",1
"407",1
"397",1
"386",1
"380",1
"378",1
"375",1
"362",1
"360",1
"358",1
"353",1
"351",1
"346",1
"345",1
"342",1
"333",1
"332",1
"331",1
"327",1
"325",1
"324",1
"323",1
"321",1
"311",1
"310",1
"301",1
"299",1
"298",1
"294",1
"291",1
"290",1
"286",1
"285",1
"284",1
"282",1
"280",1
"266",1
"250",1
