"pass_muni","Count"
"0.0000",3850528
"0.0005",29851
"0.0003",28878
"0.0006",28193
"0.0007",26217
"0.0004",25755
"0.0008",25291
"0.0002",24540
"0.0009",23627
"0.0011",22995
"0.0010",22936
"0.0012",21058
"0.0013",20406
"0.0014",19537
"0.0015",19078
"0.0016",17570
"0.0001",17117
"0.0018",17112
"0.0019",16782
"0.0017",16658
"0.0020",15840
"0.0021",15687
"0.0022",15103
"0.0024",14433
"0.0023",14306
"0.0025",13679
"0.0026",13401
"0.0028",12446
"0.0029",12412
"0.0027",12154
"0.0030",11678
"0.0031",11325
"0.0032",10877
"0.0033",10575
"0.0036",10177
"0.0035",10085
"0.0034",9976
"0.0038",9507
"0.0037",9478
"0.0039",9292
"0.0040",8805
"0.0042",8661
"0.0041",8443
"0.0044",8427
"0.0045",8038
"0.0046",7921
"0.0043",7850
"0.0047",7678
"0.0048",7266
"0.0049",7217
"0.0050",7140
"0.0051",6823
"0.0052",6648
"0.0053",6556
"0.0056",6456
"0.0055",6332
"0.0054",6291
"0.0057",6147
"0.0058",5930
"0.0062",5873
"0.0059",5872
"0.0060",5764
"0.0068",5564
"0.0061",5533
"0.0064",5356
"0.0063",5302
"0.0067",5265
"0.0066",5161
"0.0070",5065
"0.0065",5003
"0.0073",4913
"0.0071",4814
"0.0077",4768
"0.0069",4502
"0.0074",4458
"0.0076",4448
"0.0072",4328
"0.0075",4267
"0.0079",4062
"0.0080",4017
"0.0086",4005
"0.0078",3980
"0.0082",3874
"0.0081",3838
"0.0084",3744
"0.0083",3707
"0.0088",3652
"0.0087",3598
"0.0085",3594
"0.0090",3469
"0.0091",3437
"0.0089",3420
"0.0095",3378
"0.0093",3355
"0.0092",3311
"0.0099",3196
"0.0096",3167
"0.0094",3071
"0.0103",3059
"0.0098",3049
"0.0097",3036
"0.0102",3013
"0.0101",2979
"0.0105",2937
"0.0100",2901
"0.0104",2895
"0.0106",2857
"0.0108",2834
"0.0107",2791
"0.0114",2683
"0.0110",2678
"0.0115",2611
"0.0112",2607
"0.0111",2590
"0.0113",2547
