"comm_veh","Count"
"0.0000",5251435
"0.0",27096
"0",4375
"1.8787",196
"1.9162",151
"1.8546",145
"2.0375",140
"1.8269",140
"1.9229",137
"1.9344",136
"1.7384",135
"1.7150",135
"1.9039",133
"2.3586",131
"1.8407",131
"1.9650",130
"1.8114",130
"2.0659",128
"2.0979",127
"1.6007",127
"1.8716",126
"1.6838",125
"2.0545",124
"1.7589",123
"1.4646",123
"2.2179",121
"2.0006",121
"1.8712",121
"1.5836",121
"2.5499",120
"1.9952",120
"1.7141",120
"1.6549",119
"1.5360",119
"2.1947",118
"2.0444",117
"2.0309",117
"2.0056",117
"2.0843",116
"1.6959",116
"1.9582",115
"2.1440",114
"1.9404",114
"1.8474",114
"1.8213",114
"1.7835",111
"1.6569",111
"1.5619",110
"1.9852",109
"1.9672",109
"1.8571",109
"2.1136",108
"1.9749",107
"1.9280",107
"1.6753",107
"1.6599",105
"2.0140",104
"1.9400",104
"1.8570",104
"1.8525",104
"1.6068",103
"1.9341",102
"2.1141",101
"1.9842",101
"1.9791",101
"1.7728",101
"1.7162",101
"1.5170",101
"1.4944",101
"1.9601",100
"1.8930",100
"1.7503",100
"2.1463",98
"2.0485",98
"1.8978",98
"1.8731",98
"1.8697",98
"1.6058",98
"1.9189",97
"1.7533",97
"1.4912",97
"2.1008",96
"2.0643",96
"1.8322",96
"1.8059",96
"1.7834",96
"1.7610",96
"1.6641",96
"2.0118",95
"1.8569",95
"1.6653",95
"2.0805",94
"2.0415",94
"2.0148",94
"2.0122",94
"1.9315",94
"2.1337",93
"1.8666",93
"1.6892",93
"2.0277",92
"1.8776",92
"1.8483",92
"1.6472",92
"1.5823",92
"2.3566",91
"2.1812",91
"2.1528",91
"1.9786",91
"1.9494",91
"1.8420",91
"1.8291",91
"1.7406",91
"1.7067",91
"1.6791",91
"1.8760",90
"1.7323",90
"2.1904",89
"1.9175",89
"1.8974",89
"1.8482",89
"1.8350",89
"2.3601",88
"2.1247",88
"1.8996",88
"1.7048",88
"3.7092",87
"2.1510",87
"2.0612",87
"1.8259",87
"2.4114",86
"1.9971",86
"1.9493",86
"1.9102",86
"1.8869",86
"1.8416",86
"1.6929",86
"1.6166",86
"1.6125",86
"1.5510",86
"2.2312",85
"2.1144",85
"1.9541",85
"1.8244",85
"1.7792",85
"2.0205",84
"1.8127",84
"1.6845",84
"1.6373",84
"3.8324",83
"2.4915",83
"2.3242",83
"2.3231",83
"2.2228",83
"2.2185",83
"1.7352",83
"1.6905",83
"2.1255",82
"2.0944",82
"1.8146",82
"1.6771",82
"2.1916",81
"2.1225",81
"2.1162",81
"2.0926",81
"2.0133",81
"1.9916",81
"1.9737",81
"1.9401",81
"1.8262",81
"1.6675",81
"3.8458",80
"3.6538",80
"2.7575",80
"2.5069",80
"2.5025",80
"2.4001",80
"2.3339",80
"2.3009",80
"2.2520",80
"2.2317",80
"2.1845",80
"2.1693",80
"2.0124",80
"1.9084",80
"2.4750",79
"2.3761",79
"2.1121",79
"1.9510",79
"1.8484",79
"1.7058",79
"1.3651",79
"2.1074",78
"1.9867",78
"1.8733",78
"1.8400",78
"1.6376",78
"1.5923",78
"2.6174",77
"2.1034",77
"2.0418",77
"1.9248",77
"1.8159",77
"1.7672",77
"1.5987",77
"1.9356",76
"1.9348",76
"1.9078",76
"1.8401",76
"1.7360",76
"1.7203",76
"1.6487",76
"1.6019",76
"3.8078",75
"3.7050",75
"3.3676",75
"2.4966",75
"1.8553",75
"1.8080",75
"1.5736",75
"1.5363",75
"2.0417",74
"2.0338",74
"1.9796",74
"1.9776",74
"1.9099",74
"1.9002",74
"1.8503",74
"1.8154",74
"1.7905",74
"1.7222",74
"1.6860",74
"1.6565",74
"1.5492",74
"1.5145",74
"1.4868",74
"1.4496",74
"2.3718",73
"2.1095",73
"2.0938",73
"2.0887",73
"1.8016",73
"1.7484",73
"1.7319",73
"1.6704",73
"1.6390",73
