"comm_zip","Count"
"0.0000",5009862
"0.0",217824
"0",57920
"0.3333",441
"1.0000",372
"0.1213",306
"0.3000",291
"0.5000",284
"0.6000",282
"0.0809",271
"0.2500",268
"0.1232",268
"0.1429",264
"0.1548",260
"0.2000",259
"0.0106",255
"0.1224",254
"0.1698",244
"0.0444",242
"0.0798",241
"0.0917",240
"0.2440",233
"0.0092",232
"0.0460",231
"0.4000",230
"0.6666",225
"0.1500",222
"0.1545",215
"0.0053",212
"0.1765",211
"0.0021",211
"2.0000",210
"0.1564",210
"0.7500",208
"0.1563",206
"0.1257",203
"0.0906",202
"0.0116",202
"0.1610",199
"0.0777",199
"0.3070",198
"0.0212",198
"0.0807",196
"0.0614",196
"0.1671",195
"0.0745",193
"1.2000",192
"0.1010",192
"0.0876",192
"0.3452",191
"0.1839",191
"0.0681",190
"0.1237",189
"0.0468",188
"0.0158",188
"0.1134",187
"0.0250",187
"0.0124",187
"0.0090",187
"0.0842",184
"0.0719",184
"0.0126",184
"0.1196",183
"0.0474",182
"0.1614",181
"0.0249",181
"0.0230",181
"0.2008",180
"0.1348",180
"0.3696",179
"0.2704",179
"0.2394",179
"0.0969",179
"0.1905",178
"0.1534",177
"0.2456",176
"0.1579",176
"0.1254",176
"0.0774",176
"0.0463",176
"0.1596",175
"0.0634",175
"0.0252",174
"0.2384",173
"1.5000",172
"0.4286",172
"0.2976",172
"0.1467",172
"0.1344",172
"0.1554",171
"0.2436",169
"0.1673",169
"0.1318",169
"0.0084",169
"0.1550",168
"0.0159",168
"0.0960",167
"0.0954",167
"0.1422",166
"0.3810",165
"0.3252",164
"0.2024",164
"0.1245",164
"0.2616",163
"0.2448",163
"0.0318",163
"0.0088",163
"0.1152",162
"0.1546",160
"0.1185",160
"0.0992",160
"0.0968",160
"0.0936",160
"0.0647",159
"0.0612",159
"0.0498",159
"0.0422",159
"0.3396",157
"0.2426",157
"0.0174",157
"0.1362",156
"0.0659",156
"0.0063",156
"0.1263",155
"0.1214",155
"0.0844",155
"0.1836",154
"0.0168",153
"0.3597",152
"0.2222",152
"0.1667",152
"0.0198",152
"0.3056",151
"0.1505",151
"0.1284",151
"0.0348",151
"0.0060",151
"0.2418",150
"0.2268",149
"0.0789",149
"0.0613",149
"0.0132",149
"0.4720",148
"0.3228",148
"0.2368",148
"0.1605",148
"0.0421",148
"0.0122",148
"0.0030",147
"0.3126",146
"0.2360",146
"0.2043",146
"0.1848",146
"0.1000",146
"0.0276",146
"0.3112",145
"0.2020",145
"0.1182",145
"0.0549",145
"0.0234",145
"0.0110",145
"0.3846",144
"0.3090",144
"0.1908",144
"0.1166",144
"0.0812",144
"0.0378",144
"0.8275",143
"0.5556",143
"0.3444",143
"0.1541",143
"0.0672",143
"0.3530",142
"0.3066",142
"0.2406",142
"0.1082",142
"0.0888",142
"0.0115",142
"0.2506",141
"0.2167",140
"0.0570",140
"0.0042",140
"0.6667",139
"0.3708",139
"0.1206",139
"0.3220",138
"0.3068",138
"0.2696",138
"0.1675",138
"0.0211",138
"0.0153",138
"0.2597",137
"0.1236",137
"0.1084",137
"0.0128",137
"0.2858",136
"0.2794",136
"0.2296",136
"0.2154",136
"0.0184",136
"0.0120",136
"0.6304",135
"0.5714",135
"0.3030",135
"0.1752",135
"0.1728",135
"0.4048",134
"0.2888",134
"0.1874",134
"0.1834",134
"0.1538",134
"0.1528",134
"0.1476",134
"0.0660",134
"0.0600",134
"0.5455",133
"0.3636",133
"0.1280",133
"0.1234",133
"0.0949",133
"0.0771",133
"0.0636",133
"0.3672",132
"0.3529",132
"0.3314",132
"0.3171",132
"0.1382",132
"0.0839",132
"0.1854",131
"0.1655",131
"0.1438",131
"0.1356",131
"0.1239",131
"0.0782",131
"0.0676",131
"0.3152",130
"0.1458",130
"0.1250",130
"0.1184",130
"0.0948",130
"0.0248",130
"0.0087",130
"0.4030",129
"0.3116",129
"0.1882",128
"0.1570",128
"0.1204",128
"0.0232",128
"0.0200",128
"0.1680",127
"0.2262",126
"0.1391",126
"0.1238",126
"0.1217",126
"0.1089",126
"0.0556",126
"0.4186",125
"0.3086",125
"0.2248",125
"0.1470",125
"0.1192",125
"0.0718",125
"0.0052",125
"0.6078",124
"0.4615",124
"0.1578",124
"0.1098",124
"0.0950",124
"0.0905",124
"0.0840",124
"0.0472",124
"0.0220",124
"0.5032",123
"0.3950",123
"0.3750",123
"0.2698",123
"0.2496",123
"0.1795",123
"0.1131",123
"0.0532",123
"0.2934",122
"0.2727",122
"0.2577",122
"0.2298",122
"0.1890",122
"0.1584",122
"0.1502",122
"0.1358",122
"0.0714",122
"0.0518",122
"0.0510",122
"0.3966",121
"0.3516",121
"0.2672",121
"0.2344",121
"0.2304",121
"0.2028",121
"0.1944",121
"0.1782",121
"0.1618",121
"0.1352",121
"0.1120",121
"0.1061",121
"0.0156",121
"0.4485",120
"0.4224",120
"0.1856",120
"0.3206",119
"0.2857",119
"0.2526",119
"0.1490",119
"0.0879",119
"0.4880",118
"0.3678",118
"0.3096",118
"0.3010",118
"0.2058",118
"0.1693",118
"0.1444",118
"0.0316",118
"0.8166",117
"0.2430",117
"0.1321",117
"0.1241",117
"0.1103",117
"0.1076",117
"0.0826",117
"0.0394",117
"0.0196",117
"1.0714",116
"0.8182",116
"0.2632",116
"0.2464",116
"0.2112",116
"0.1624",116
"0.1560",116
"0.1485",116
"0.1380",116
"0.1333",116
"0.1042",116
"0.0930",116
"0.0134",116
"0.4310",115
"0.3705",115
"0.2194",115
"0.2156",115
"0.1220",115
"0.1172",115
"0.1068",115
"0.0884",115
"0.0045",115
"0.7626",114
"0.4096",114
"0.2227",114
"0.1920",114
"0.1818",114
"0.1744",114
"0.1481",114
"0.1354",114
"0.1053",114
"0.0855",114
"0.0336",114
"0.0020",114
"0.4375",113
"0.3561",113
"0.3136",113
"0.2455",113
"0.2326",113
"0.1081",113
"0.0996",113
"0.0674",113
"0.0189",113
"0.7857",112
"0.4812",112
"0.4536",112
"0.4138",112
"0.2350",112
"0.1682",112
"0.1226",112
"0.0832",112
"0.0486",112
"0.0285",112
"0.0138",112
"0.0076",112
"0.8750",111
"0.2844",111
"0.2634",111
"0.1389",111
"0.1374",111
"0.1176",111
"0.1050",111
"0.0521",111
"0.0264",111
"0.0054",111
"0.2069",110
"0.1896",110
"0.1346",110
"0.1332",110
"0.1230",110
"0.0872",110
"0.0270",110
"0.0149",110
"0.6336",109
"0.4040",109
"0.3806",109
"0.3232",109
"0.3036",109
"0.2478",109
"0.1938",109
"0.1440",109
"0.0222",109
"0.7692",108
"0.3197",108
"0.3084",108
"0.2476",108
"0.1812",108
"0.0725",108
"0.3261",107
"0.3108",107
"0.2679",107
"0.2157",107
"0.1556",107
"0.1410",107
"0.1336",107
"0.1228",107
"0.3765",106
"0.2370",106
"0.2354",106
"0.2170",106
"0.1825",106
"0.1558",106
"0.1270",106
"0.1190",106
"0.1108",106
"0.0870",106
"0.0732",106
"0.0244",106
"0.0204",106
"0.9416",105
"0.4444",105
"0.3571",105
"0.3560",105
"0.3488",105
"0.3248",105
"0.2778",105
"0.2184",105
"0.1644",105
"0.1020",105
"0.0864",105
"0.0779",105
"0.0716",105
"0.0240",105
"0.0221",105
"0.3780",104
"0.2364",104
