"comm_muni","Count"
"0.0000",5228324
"0",55935
"1.0000",762
"2.0000",378
"0.7248",292
"0.5000",292
"0.9443",277
"0.8919",264
"0.7681",264
"0.9148",252
"0.9294",240
"1.5000",238
"0.6000",236
"0.7435",235
"0.9213",234
"0.9621",233
"0.9247",233
"0.9173",233
"0.9248",232
"0.7137",231
"0.9077",229
"0.7987",228
"0.8410",227
"3.0000",226
"0.8911",225
"0.8856",220
"1.4496",215
"0.8773",214
"0.6667",204
"0.9601",202
"0.7946",201
"0.9696",194
"0.6705",193
"0.4118",193
"1.0202",192
"0.7635",180
"0.6800",177
"0.8120",175
"0.6948",174
"0.9442",172
"0.5254",169
"0.6659",167
"0.8187",166
"0.8394",164
"0.7000",164
"0.8320",163
"0.6499",162
"0.9756",160
"1.1940",159
"4.0000",158
"0.7996",158
"0.6646",158
"0.5278",157
"1.7838",156
"1.2096",156
"1.7712",155
"1.5362",155
"1.0158",155
"0.7965",155
"0.6620",155
"0.6155",155
"1.7822",154
"1.5974",153
"0.8946",153
"1.8886",152
"0.7747",151
"0.7474",151
"1.4274",150
"0.7677",150
"0.7952",149
"0.7117",149
"0.8042",148
"1.4870",147
"0.8441",147
"0.8000",147
"0.7971",147
"0.8305",146
"0.7274",146
"0.4444",146
"0.8583",145
"0.4269",144
"1.2256",143
"1.2000",143
"0.3333",143
"1.8296",142
"0.5971",142
"1.1614",141
"0.9000",141
"0.8573",141
"0.4032",141
"0.5462",140
"0.4615",140
"1.8496",139
"1.1584",139
"0.8532",139
"0.7024",139
"1.8154",138
"0.8706",138
"0.7194",138
"0.8230",137
"1.8588",136
"0.8083",136
"0.6392",136
"0.5764",136
"1.8346",135
"0.9346",135
"0.8868",135
"0.8004",135
"1.8494",134
"1.1280",134
"0.8794",134
"0.4683",134
"2.1744",133
"1.9242",133
"0.8131",133
"0.5612",133
"0.4551",133
"0.8662",132
"1.8426",131
"1.1598",130
"0.7500",130
"0.7206",130
"0.7068",130
"0.7373",129
"0.6568",129
"0.5101",129
"1.0720",128
"0.5974",128
"0.5683",128
"0.4939",128
"0.6041",127
"0.8579",125
"0.5758",125
"0.9960",124
"0.8282",124
"0.6626",124
"0.5877",124
"0.8731",123
"0.8694",123
"0.7072",123
"0.5054",123
"0.4984",123
"0.6274",122
"0.4783",121
"0.9145",120
"0.6671",120
"0.6656",120
"0.6389",120
"0.6351",120
"0.9054",119
"0.4353",119
"2.3880",118
"0.9509",118
"0.8577",118
"0.8535",118
"0.7989",118
"0.7555",118
"0.7528",118
"0.5716",118
"0.4736",118
"1.3342",117
"0.9274",117
"0.5903",117
"0.6535",116
"0.6395",116
"0.5949",116
"0.4545",116
"2.7444",115
"0.7875",115
"1.6820",114
"1.0346",114
"0.9685",114
"0.8899",114
"0.8659",114
"0.6594",114
"0.6128",114
"0.5185",114
"0.4963",114
"1.8000",113
"0.8714",113
"0.7548",113
"0.7358",113
"0.4255",113
"1.3600",112
"1.0246",112
"0.6730",112
"0.6094",112
"0.6048",112
"1.5942",111
"1.1469",111
"0.9044",111
"0.7246",111
"0.6923",111
"0.6881",111
"0.9102",110
"0.6837",110
"0.6192",110
"0.4532",110
"2.8863",109
"0.9167",109
"0.6552",109
"2.8329",108
"1.1528",108
"0.8388",108
"0.7908",108
"0.7751",108
"0.4048",108
"1.2500",107
"0.8331",107
"0.7580",107
"0.6602",107
"0.6375",107
"1.0762",106
"0.9798",106
"0.6536",106
"0.5288",106
"2.7744",105
"1.1327",105
"1.0508",105
"0.7306",105
"0.6952",105
"5.0000",104
"2.7741",104
"1.4506",104
"0.8159",104
"0.6912",104
"0.5632",104
"1.4048",103
"1.0753",103
"0.8244",103
"0.8215",103
"0.7692",103
"0.6314",103
"0.5944",103
"0.5833",103
"0.5512",103
"0.5463",103
"0.5404",103
"0.3567",103
"1.5078",102
"0.9898",102
"0.7102",102
"0.6648",102
"0.6009",102
"0.5868",102
"0.5401",102
"1.0331",101
"0.8961",101
"0.7597",101
"0.7459",101
"0.6554",101
"0.6147",101
"0.6080",101
"0.5893",101
"2.7639",100
"1.2701",100
"0.8297",100
"0.4873",100
"1.6240",99
"1.5892",99
"1.1792",99
"1.0255",99
"0.9268",99
"0.7304",99
"0.7171",99
"0.5671",99
"2.2305",98
"2.1411",98
"1.6788",98
"1.6640",98
"1.1480",98
"0.9698",98
"0.9009",98
"0.8124",98
"0.7134",98
"0.6069",98
"0.5530",98
"0.4021",98
"2.3961",97
"1.2380",97
"0.8408",97
"0.8241",97
"0.7847",97
"0.7678",97
"0.5970",97
"0.5750",97
"0.4453",97
"2.7882",96
"2.3031",96
"1.3050",96
"1.0600",96
"0.8528",96
"0.8243",96
"0.5020",96
"2.8992",95
"1.4000",95
"1.3334",95
"1.3240",95
"1.1845",95
"0.7424",95
"0.7070",95
"0.6327",95
"0.6013",95
"0.5939",95
"0.3867",95
"2.7519",94
"1.9202",94
"1.3410",94
"1.3204",94
"1.2118",94
"0.9583",94
"0.8148",94
"0.8049",94
"0.5362",94
"2.0316",93
"1.7588",93
"1.5494",93
"1.4548",93
"1.3896",93
"0.9504",93
"0.9460",93
"0.9158",93
"0.6487",93
"0.5792",93
"0.4478",93
"0.4473",93
"2.7231",92
"1.5354",92
"1.0458",92
"0.9573",92
"0.8416",92
"0.7543",92
"0.6861",92
"0.5449",92
"0.3876",92
"1.7546",91
"1.6460",91
"1.2803",91
"1.0596",91
"0.9472",91
"0.8907",91
"0.8839",91
"0.8189",91
"0.8011",91
"0.6483",91
"0.6460",91
"0.6138",91
"0.3983",91
"2.6757",90
"1.7736",90
"1.7166",90
"1.5992",90
"1.1058",90
"0.9942",90
"0.9532",90
"0.7684",90
"0.7529",90
"0.6934",90
"0.6546",90
"0.6103",90
"0.5841",90
"0.4878",90
"0.3370",90
"2.4000",89
"1.7324",89
"1.7146",89
"1.3104",89
"1.2750",89
"1.2562",89
"0.9097",89
"0.7666",89
"0.7378",89
"0.7347",89
"0.7253",89
"0.6680",89
"0.5816",89
"0.5286",89
"0.5086",89
"0.4784",89
"0.4610",89
"0.4324",89
"2.3043",88
"1.1672",88
"0.8587",88
"0.8440",88
"0.7852",88
"0.5436",88
"2.0400",87
"1.9392",87
"1.7922",87
"0.8702",87
"0.7895",87
"0.7105",87
"0.7073",87
"0.6809",87
"0.5891",87
"0.4863",87
"0.4762",87
"0.4382",87
"2.6733",86
"2.6568",86
"1.6084",86
"1.3318",86
"1.1224",86
"0.7413",86
"0.6885",86
"0.6724",86
"0.6647",86
"0.6190",86
"0.6116",86
"0.4945",86
"0.4277",86
"0.4000",86
"2.8548",85
"1.9860",85
