"No","Field","cMin","Q1","Median","Mean","Q3","cMax","N","Missing","NUnique","ZeroVariation","Zero","NonZero","Min","Max"
"1","seq_id","8","8","8","8","8","8","5691648","0","5691648",": ","0","5691648","22766593","28458240"
"2","g250m_id","1","5","6","5.688","6","6","5691648","0","355728",": ","0","5691648","1","355728"
"3","hh10","4","4","4","4.163","4","7","5691648","0","12328","0.00: 3360624","3360624","2331024","0.01","1778.89"
"4","quarter","7","7","7","7","7","7","5691648","0","16","","3360624","0","0","0"
"5","veh_tot","6","6","6","6.225","6","10","5691648","0","658584","0.0000: 3173143","3173143","2518505","1e-04","21986.6483"
"6","pass_veh","6","6","6","6.213","6","8","5691648","0","614521","0.0000: 3191141","3191141","2500507","1e-04","926.4195"
"7","ovrlp_pct","1","3","3","4.006","6","6","5691648","0","10003","0.0: 3682976; 0.0000: 90394; 0: 60257","3833627","1858021","1e-04","1"
"8","pass_geo","1","1","1","1.211","1","3","5691648","0","581","0: 3739867","3739867","1951781","1","925"
"9","best_geo","1","1","1","1.133","1","3","5691648","0","352","0: 3898339","3898339","1793309","1","465"
"10","pass_zip","1","6","6","5.883","6","8","5691648","0","59029","0.0000: 3149396; 0.0: 217824; 0: 3392","3370612","2321036","1e-04","687.6498"
"11","pass_muni","6","6","6","6","6","7","5691648","0","22777","0.0000: 3850528","3850528","1841120","1e-04","36.5999"
"12","veh_phh","3","3","3","3.378","4","6","5691648","0","3328","0.0: 3558272; 0.00: 648","3558920","2132728","0.01","214.31"
"13","mipdaypass","3","3","3","4.283","7","8","5691648","0","405691","0.0: 3830111; 0.0000: 114812","3944923","1746725","6e-04","199.8442"
"14","mipday_phh","3","6","6","6.07","7","9","5691648","0","864570","0.0000: 3667851; 0.0: 443727","4111578","1580070","2e-04","7229.855"
"15","mipdaybest","1","3","3","4.13","7","8","5691648","0","408103","0.0: 3830111; 0: 163577; 0.0000: 109","3993797","1697851","0.0022","199.7389"
"16","veh_lo","1","1","3","2.386","3","3","5691648","0","142","0.0: 3868089; 0: 594571","4462660","1228988","1","162"
"17","veh_medlo","1","1","3","2.388","3","3","5691648","0","124","0.0: 3868089; 0: 565876","4433965","1257683","1","147"
"18","veh_medhi","1","1","3","2.388","3","3","5691648","0","108","0.0: 3868089; 0: 502011","4370100","1321548","1","154"
"19","veh_hi","1","1","3","2.388","3","3","5691648","0","108","0.0: 3868089; 0: 440569","4308658","1382990","1","144"
"20","veh_vhi","1","1","3","2.362","3","3","5691648","0","54","0.0: 3868089; 0: 778386","4646475","1045173","1","70"
"21","comm_veh","1","6","6","6.001","6","10","5691648","0","76456","0.0000: 5251435; 0.0: 27096; 0: 4375","5282906","408742","1","21986.594"
"22","comm_geo","1","1","1","1.009","1","5","5691648","0","538","0: 5282906","5282906","408742","1","14290"
"23","comm_zip","1","6","6","5.836","6","9","5691648","0","38232","0.0000: 5009862; 0.0: 217824; 0: 57920","5285606","406042","0.0014","5071.5084"
"24","comm_muni","1","6","6","5.957","6","9","5691648","0","51126","0.0000: 5228324; 0: 55935","5284259","407389","0.0345","7603.4544"
"25","mipdaycomm","3","3","3","3.324","3","10","5691648","0","165127","0.0: 5188400; 0.0000: 154166","5342566","349082","7e-04","27625.9104"
"26","mpg_eff","1","1","1","6.841","19","22","5691648","0","1583112","0: 3844428","3844428","1847220","0.327823003545922","33183.5384615385"
"27","glpdaypass","1","1","1","6.641","18","23","5691648","0","1666849","0: 3509282; 0.0: 443727","3953009","1738639","0.00022774","2499.40032568"
"28","co2eqv_day","4","4","4","4.565","5","8","5691648","0","196975","0.00: 3953019","3953019","1738629","0.01","22634.16"
