"start_odom","Count"
"",5213114
"5",15568
"12",13612
"10",13565
"3",11628
"11",9675
"6",9524
"0",9176
"15",8828
"8",8529
"7",8325
"4",7889
"9",7615
"13",7412
"25",6983
"14",6618
"20",6342
"2",5411
"16",5375
"22",4887
"19",4885
"17",4760
"18",4742
"21",4446
"23",4128
"33",3188
"26",3156
"24",3108
"30",2982
"50",2810
"45",2763
"100",2737
"27",2645
"35",2534
"28",2506
"32",2500
"29",2357
"34",2295
"31",2223
"36",2188
"54",2138
"40",2137
"55",2005
"38",1971
"56",1911
"44",1891
"37",1840
"39",1804
"65",1795
"41",1786
"1",1705
"43",1699
"42",1675
"60",1649
"47",1625
"52",1624
"51",1616
"48",1594
"46",1567
"125",1515
"49",1507
"58",1490
"69",1488
"123",1453
"67",1451
"53",1443
"75",1431
"200",1425
"77",1422
"70",1421
"61",1420
"57",1415
"78",1400
"80",1391
"63",1371
"87",1369
"64",1355
"68",1352
"85",1318
"66",1308
"120",1307
"59",1295
"62",1277
"71",1273
"74",1265
"89",1260
"76",1257
"84",1237
"150",1230
"81",1227
"110",1217
"101",1216
"90",1212
"72",1212
"102",1193
"98",1187
"88",1181
"79",1177
"95",1171
"105",1160
"86",1138
"91",1129
"83",1128
"112",1127
"73",1100
"115",1097
"122",1096
"143",1077
"111",1074
"99",1071
"124",1062
"121",1061
"104",1058
"82",1054
"106",1027
"97",1026
"109",1025
"145",1007
"107",1006
"126",1005
"117",1004
"103",1000
"113",999
"60000",996
"96",995
"116",995
"30000",986
"94",984
"45000",981
"92",974
"140",971
"130",970
"93",966
"108",963
"35000",959
"15000",959
"25000",950
"114",949
"132",947
"128",946
"118",941
"127",936
"50000",928
"135",908
"65000",898
"211",896
"129",885
"131",883
"160",881
"141",881
"119",879
"40000",876
"147",874
"300",871
"142",871
"133",865
"134",864
"136",861
"67000",859
"52000",859
"154",856
"138",856
"250",852
"137",846
"170",840
"144",835
"53000",834
"80000",830
"75000",827
"21000",826
"32000",825
"156",825
"54000",816
"20000",814
"56000",812
"38000",812
"155",812
"151",812
"100000",809
"148",808
"59000",805
"57000",804
"153",803
"36000",793
"51000",790
"29000",790
"152",790
"55000",789
"157",788
"146",788
"41000",780
"43000",779
"175",779
"61000",774
"28000",774
"158",770
"139",770
"33000",768
"31000",767
"149",765
"180",764
