"ovrlp_days","Count"
"364",305681
"365",252011
"371",200532
"366",170663
"1",168010
"367",158559
"363",155037
"368",146550
"370",144832
"378",141633
"369",135398
"357",131216
"362",129983
"372",126137
"392",113663
"361",112869
"385",112814
"729",110596
"373",105280
"374",103170
"358",101695
"360",101632
"377",100343
"375",99054
"376",96016
"379",95397
"359",95253
"2",88559
"393",88351
"395",87383
"386",81534
"380",80823
"394",80719
"381",80282
"384",80139
"382",79442
"3",79350
"391",77549
"383",77310
"356",76806
"730",76025
"350",75756
"389",75031
"390",74052
"4",73452
"388",73371
"387",72292
"355",69044
"396",67705
"7",64088
"354",63689
"399",61491
"351",60313
"5",57181
"352",56120
"6",55760
"397",54349
"305",54131
"353",54111
"60",52540
"398",48917
"152",46484
"8",46079
"121",45600
"349",45115
"183",44686
"333",44680
"343",44227
"425",43828
"91",43059
"348",43032
"400",41889
"334",39946
"346",38560
"213",38534
"347",38230
"30",37909
"345",37821
"406",37796
"214",36345
"344",36139
"336",35791
"243",34810
"274",34761
"402",34271
"122",33685
"401",33077
"337",32810
"403",31824
"9",31656
"184",31357
"275",31160
"341",30986
"151",30892
"120",30845
"304",30686
"340",30247
"92",30202
"306",29905
"155",29785
"10",29770
"339",29704
"89",29445
"29",29317
"273",29185
"404",29167
"246",29147
"212",29019
"150",28780
"61",28733
"342",28232
"456",28057
"31",27989
"242",27826
"405",27767
"276",27579
"303",27573
"407",27536
"413",27532
"123",27523
"11",27478
"59",27411
"211",26993
"185",26886
"218",26763
"245",26619
"302",26507
"154",26336
"338",26069
"93",26014
"271",25889
"32",25840
"156",25777
"179",25698
"330",25157
"331",25030
"241",24974
"64",24689
"12",24678
"88",24635
"28",24627
"408",24329
"335",24313
"149",24311
"186",24307
"329",24142
"409",24107
"182",24099
"58",24088
"277",24062
"0",24038
"14",23952
"157",23759
"15",23691
"278",23657
"148",23583
"63",23507
"301",23479
"219",23399
"420",23389
"208",23282
"178",23264
"187",23160
"410",23046
"57",23027
"247",23017
"116",22996
"94",22933
"270",22903
"220",22896
"239",22880
"210",22800
"124",22705
"26",22651
"33",22638
"248",22525
"240",22350
"158",22330
"327",22320
"127",22238
"119",22237
"308",22231
"411",22227
"87",22062
"414",21969
"159",21948
"269",21911
"309",21822
"486",21767
"95",21710
"299",21708
"177",21615
"217",21585
"332",21404
"311",21383
"281",21281
"298",21268
"310",21234
"25",21219
"427",21200
"145",21184
"312",21173
"22",21127
"85",20961
"267",20873
"176",20794
"86",20739
"249",20723
"316",20676
"207",20647
"268",20613
"96",20554
"412",20547
"128",20439
"144",20232
"288",20221
"66",20167
"253",20148
"18",20074
"323",19952
"17",19885
"67",19874
"325",19860
"19",19812
"264",19794
"65",19788
"131",19763
"322",19761
"173",19739
"16",19728
"416",19700
"56",19686
"324",19630
"221",19618
"147",19615
"190",19594
"68",19589
"250",19588
"206",19581
"421",19525
"423",19523
"244",19521
"129",19518
"21",19517
"280",19509
"81",19505
"424",19453
"130",19434
"297",19432
"326",19381
"320",19369
"236",19312
"24",19305
"232",19238
"113",19157
"54",19084
"141",19081
"238",19063
"204",19031
"143",19022
"115",19017
"289",18962
"126",18901
"317",18854
"315",18838
"417",18820
"291",18804
"36",18768
"415",18743
"71",18734
"296",18702
"283",18700
"284",18697
"295",18695
"170",18665
"169",18642
"418",18628
"23",18611
"318",18570
"260",18490
"172",18467
"142",18438
"171",18310
"166",18303
"548",18287
"134",18282
