"ovrlp_pct","Count"
"100",6713003
"",5213114
"0",17519
"0.07",10341
"0.09",8410
"0.27",7997
"0.08",7393
"0.26",5972
"0.06",5610
"0.13",5585
"0.28",5477
"0.25",5246
"0.14",5173
"0.1",4362
"0.54",4345
"0.18",4307
"99.73",4268
"0.12",4162
"0.55",4090
"50",4066
"0.29",4029
"0.24",3957
"0.2",3947
"0.19",3856
"0.11",3742
"0.51",3716
"0.23",3630
"0.22",3624
"0.52",3620
"0.21",3590
"0.53",3587
"0.34",3427
"0.41",3422
"0.17",3411
"0.56",3395
"0.15",3363
"0.36",3362
"0.5",3338
"0.45",3311
"0.32",3298
"0.3",3283
"0.47",3270
"0.4",3267
"0.33",3221
"0.16",3179
"0.35",3152
"0.31",3151
"0.46",3143
"0.44",3125
"0.48",3117
"0.43",3089
"0.38",3043
"0.37",3001
"0.39",2971
"0.49",2969
"0.42",2931
"0.58",2922
"0.57",2900
"33.33",2800
"66.67",2646
"0.82",2600
"99.72",2573
"0.63",2542
"0.59",2509
"99.45",2496
"0.61",2414
"0.6",2401
"0.62",2397
"99.18",2339
"0.68",2269
"0.65",2266
"0.81",2236
"0.66",2169
"0.76",2155
"0.64",2121
"0.75",2113
"0.67",2048
"25",2046
"0.83",2044
"0.79",2028
"0.7",2028
"0.78",2007
"0.8",2006
"0.69",2001
"0.71",1983
"0.72",1981
"0.85",1966
"0.77",1963
"49.73",1938
"14.29",1884
"0.73",1874
"75",1869
"1.1",1853
"40",1848
"0.74",1844
"0.84",1836
"1.08",1820
"0.88",1799
"1.09",1720
"0.87",1703
"0.86",1694
"49.59",1686
"71.43",1675
"66.58",1658
"60",1648
"49.86",1646
"99.46",1623
"57.14",1588
"49.32",1579
"28.57",1564
"85.71",1561
"16.67",1559
"33.42",1534
"0.9",1533
"80",1529
"20",1503
"0.93",1461
"1.12",1443
"50.14",1436
"1.01",1431
"1.02",1427
"1",1416
"0.92",1415
"1.06",1413
"24.8",1401
"24.66",1398
"0.95",1394
"7.69",1389
"0.89",1388
"32.97",1382
"1.04",1382
"0.97",1378
"7.14",1376
"0.94",1375
"24.73",1373
"33.15",1370
"0.98",1369
"1.37",1363
"0.96",1343
"33.24",1330
"0.91",1328
"0.99",1327
"15.38",1320
"66.76",1307
"1.07",1306
"7.67",1305
"1.05",1305
"1.11",1299
"1.03",1299
"42.86",1296
"1.15",1296
"49.18",1283
"83.33",1282
"66.3",1280
"1.17",1280
"33.06",1276
"16.62",1269
"1.14",1267
"62.5",1259
"66.12",1256
"66.85",1252
"1.36",1247
"1.13",1240
"16.71",1238
"50.27",1231
"99.44",1228
"32.88",1224
"1.16",1221
"25.07",1216
"24.93",1208
"99.93",1206
"24.59",1202
"15.66",1185
"98.9",1183
"24.18",1177
"66.21",1176
"1.18",1176
"83.29",1173
"66.03",1173
"24.86",1173
"1.4",1172
"1.35",1166
"99.71",1165
"49.46",1162
"1.63",1157
"39.95",1150
"1.62",1144
"1.65",1142
"1.28",1140
"92.86",1139
"1.2",1134
"7.65",1120
"98.91",1119
"24.32",1114
"16.16",1113
"99.74",1111
"1.39",1107
"55.56",1106
"1.27",1104
"37.5",1097
"14.25",1094
"1.69",1089
"40.11",1085
"1.32",1081
"1.43",1079
"64.29",1078
"15.93",1078
"1.3",1078
"1.89",1074
"40.05",1071
"1.25",1070
"1.26",1068
"50.13",1065
"1.23",1061
"1.92",1050
"16.58",1049
"32.79",1048
"1.34",1048
"1.33",1045
"22.22",1038
"1.19",1036
"8.2",1030
"74.18",1030
"98.64",1029
"1.22",1026
"1.75",1024
"50.41",1023
"7.92",1019
"1.42",1017
"30.81",1014
"16.08",1014
"12.5",1014
"49.19",1008
"49.45",1007
"7.42",1003
"7.63",1002
"49.87",1000
"63.64",999
"22.25",995
"16.39",994
"1.61",992
"1.41",990
"1.29",990
"1.24",988
"7.95",982
"74.59",980
"1.38",980
"1.53",979
"1.45",978
"98.63",969
"1.64",969
"33.51",968
"66.39",967
"1.31",963
"24.52",959
"1.68",959
"23.04",958
"49.06",956
"98.92",955
"16.12",955
"25.27",954
"48.63",952
"1.52",951
"32.51",949
"39.84",948
"7.61",947
"23.08",943
"16.44",942
"16.35",942
"32.43",937
"30",936
"1.46",936
"99.17",935
"85.75",935
"75.07",935
"1.9",933
"1.79",933
"1.49",933
"66.94",932
"23.56",931
"61.73",928
"1.59",926
"1.72",921
"7.16",919
"41.1",919
"21.43",919
"20.05",919
"24.38",918
"77.78",916
"1.6",915
"48.28",914
"1.88",912
"67.03",911
"66.48",910
"59.95",909
"45.45",907
"7.59",905
"40.16",903
"32.6",902
"11.11",902
"65.85",900
"6.87",900
"24.46",900
"1.44",898
"57.18",897
"15.89",894
"1.47",894
"92.31",892
"23.9",892
"38.46",891
"24.45",891
"1.5",891
"14.36",886
"79.95",885
"74.93",884
"74.73",884
"19.95",884
"1.21",883
"61.52",882
"87.5",881
"2.16",881
"22.19",880
"75.27",878
"54.55",876
"32.61",876
"7.36",875
"46.15",873
"66.49",871
"46.17",870
"40.93",870
"2.2",870
