"model","Count"
"camry",700368
"accord",544842
"corolla",489996
"",465611
"civic",404891
"grand-cherokee",277064
"f-150",274375
"altima",244431
"explorer",241749
"taurus",235462
"cr-v",229527
"rav4",208275
"odyssey",169471
"sienna",165142
"silverado-1500",153816
"focus",152671
"maxima",151035
"ranger",148698
"highlander",147856
"tacoma",141932
"grand-caravan",141123
"forester",126759
"jetta",125324
"3-series",123824
"outback",122222
"pilot",121224
"ram-pickup-1500",120840
"impala",115224
"elantra",114039
"escape",110450
"liberty",108594
"avalon",103297
"4runner",101614
"sentra",98934
"malibu",98353
"grand-marquis",98170
"wrangler",96175
"prius",95634
"e-series-cargo",94528
"sonata",93055
"f-350-super-duty",91244
"passat",90351
"sierra-1500",90004
"lesabre",89254
"sable",88899
"legacy",86540
"tundra",86154
"dakota",84281
"s-series",84018
"pathfinder",83541
"century",83036
"town-&-country",82666
"cavalier",82067
"f-250-super-duty",77317
"tl",75331
"caravan",72876
"tahoe",69131
"santa-fe",67850
"cherokee",67486
"a4",65831
"impreza",65316
"trailblazer",64615
"mustang",63633
"blazer",63102
"mdx",61139
"expedition",60411
"durango",60069
"suburban",59727
"e-class",59547
"sebring",59474
"express-cargo",58769
"escort",58416
"s-10",58217
"9-3",58209
"matrix",56844
"grand-am",56705
"5-series",55891
"silverado-2500hd",55616
"windstar",54202
"town-car",53658
"mazda3",52427
"grand-prix",52240
"c-class",50781
"murano",49676
"deville",48991
"pt-cruiser",48848
"neon",48793
"v70",47144
"mountaineer",45333
"xterra",43054
"accent",42983
"c/k-1500-series",42054
"galant",41353
"ram-pickup-2500",40759
"es-300",39935
"s60",38950
"cobalt",38776
"fusion",38760
"camry-solara",38456
"vue",38236
"stratus",37902
"lumina",37166
"9-5",36894
"prizm",36598
"a6",36591
"m-class",35664
"sierra-2500hd",35601
"yaris",35236
"mazda6",35208
"ion",35131
"corvette",35103
"xc90",34375
"g35",33970
"x5",32939
"crown-victoria",32848
"yukon",32302
"frontier",32219
"xc70",32093
"express",31610
"new-beetle",31216
"rx-350",30235
"rx-300",30228
"sequoia",30206
"element",29550
"regal",29521
"cooper",29476
"equinox",29379
"intrepid",28929
"envoy",28804
"s80",28389
"300",27593
"pacifica",27232
"rx-330",26543
"protege",26356
"fit",26149
"monte-carlo",25839
"sedona",25767
"quest",25755
"850",25206
"s40",25156
"tucson",25077
"savana-cargo",24835
"sportage",24766
"spectra",24440
"colorado",23834
"econoline",23729
"avalanche",23600
"l-series",23573
"explorer-sport-trac",23279
"voyager",23268
"s70",23232
"vibe",23134
"park-avenue",22669
"g6",22583
"tc",22435
"lacrosse",22427
"venture",21935
"es-350",21920
"flhti",21917
"tsx",21607
"626",21562
"tribute",21472
"bonneville",21278
"five-hundred",21089
"alero",21039
"x3",21027
"ridgeline",20973
"edge",20899
"e-series-wagon",20410
"golf",20327
"s-class",20043
"yukon-xl",19998
"sorento",19895
"rogue",19840
"mpv",19813
"es-330",19770
"versa",19472
"cts",19395
"mx-5-miata",19176
"optima",18683
"jimmy",18673
"sunfire",18618
"f-250",18373
"f-350",17448
"rodeo",17126
"escalade",17071
"camry-hybrid",17045
"commander",16975
"contour",16839
"eclipse",16621
"freestyle",16433
"lucerne",16406
"continental",16246
"c/k-2500-series",16124
"xb",16104
"freestar",16103
"celica",16094
"aveo",15792
"concorde",15732
"grand-voyager",15627
"seville",15533
"i30",15318
"astro",15250
"rl",15090
"integra",15081
"saa",15065
"900",15047
"highlander-hybrid",15032
"echo",14972
"7-series",14864
"sonoma",14659
"wrangler-unlimited",14617
"ls",14572
"tracker",14476
"navigator",14472
"caliber",14330
"camaro",14262
"gx-470",14185
"ram",14173
"rendezvous",14163
"lancer",14075
"pickup",13549
"hhr",13451
"911",13451
"intrigue",13306
"villager",13023
"dts",12899
"is-250",12724
"charger",12652
"titan",12365
"tercel",12321
"e-series-chassis",12222
"land-cruiser",12173
"astro-cargo",12038
"gti",11914
"rio",11888
"f-450-super-duty",11872
"mariner",11825
"cutlass-ciera",11541
"300m",11380
"sierra-2500",11252
"npr",11170
"uplander",11019
"e-150",10928
"b-series-pickup",10916
"srx",10909
"clk-class",10872
"econoline-cargo",10855
"montero-sport",10852
"ram-van",10836
"240",10748
"fx35",10738
"gs-300",10694
"envoy-xl",10608
"milan",10546
"fj-cruiser",10377
"explorer-sport",10301
"sierra-3500",10220
"outlander",10180
"rsx",10038
"x-line-motorhome",10019
"xj-series",9920
"4900",9747
"cl",9567
"patriot",9428
"300-class",9302
"xa",9279
"ciera",9206
"acadia",9033
"qx4",8917
"cx-7",8774
"cutlass-supreme",8755
"malibu-maxx",8707
"range-rover",8676
"classic",8516
"eldorado",8510
"thunderbird",8483
"aura",8423
"e-series",8361
"x-type",8352
"sl-class",8266
"ls-430",8261
"eighty-eight",8210
"firebird",8204
"tiburon",8203
"ram-wagon",8184
"m35",8136
"trailblazer-ext",8116
"cirrus",8081
"e-250",8007
"f-550",8006
"avenger",7980
"rx-400h",7872
"cougar",7867
"i35",7836
"sephia",7832
"silverado",7828
"montana",7781
"cabrio",7735
"z3",7687
"canyon",7628
"c-k-3500",7593
