"gal_perday","Count"
"0.00",4799955
"",1120129
"1.19",41381
"1.17",41241
"1.18",41146
"1.24",41054
"1.20",41021
"1.14",41017
"1.27",41008
"1.12",40989
"1.31",40907
"1.23",40902
"1.26",40887
"1.33",40871
"1.22",40866
"1.28",40851
"1.15",40849
"1.21",40840
"1.11",40800
"1.13",40787
"1.16",40781
"1.32",40765
"1.35",40738
"1.30",40724
"1.29",40717
"1.09",40517
"1.05",40499
"1.34",40481
"1.36",40466
"1.10",40433
"1.07",40398
"1.06",40389
"1.08",40348
"1.25",40325
"1.02",40189
"1.40",40180
"1.39",40132
"1.37",40131
"1.38",40121
"1.04",40095
"1.41",39934
"1.42",39924
"1.03",39924
"1.00",39837
"1.44",39802
"0.98",39704
"1.01",39676
"1.47",39668
"1.46",39663
"0.99",39626
"1.43",39624
"1.45",39606
"1.49",39377
"0.97",39241
"0.96",39233
"0.95",39223
"1.48",39212
"1.52",39199
"0.94",39132
"1.50",39107
"1.51",39079
"0.91",39064
"1.53",38987
"0.93",38840
"1.54",38764
"1.55",38688
"1.56",38612
"0.92",38534
"0.90",38474
"0.88",38422
"0.89",38275
"1.57",38262
"1.59",38132
"0.87",38076
"0.86",38044
"1.58",37979
"1.61",37891
"1.60",37769
"0.84",37572
"0.85",37571
"1.62",37516
"0.83",37293
"0.82",37108
"1.65",37081
"1.63",37018
"1.64",36962
"1.66",36925
"0.81",36887
"1.67",36817
"0.79",36695
"1.68",36665
"1.69",36661
"0.80",36639
"1.70",36349
"0.78",36305
"0.76",36258
"1.71",36215
"0.77",36149
"0.75",35883
"1.72",35834
"1.74",35704
"1.73",35672
"1.76",35550
"0.74",35403
"1.75",35304
"0.73",35275
"1.77",34896
"0.72",34791
"1.80",34741
"0.71",34685
"1.78",34641
"0.70",34558
"1.79",34546
"1.82",34492
"1.81",34153
"0.68",33979
"0.67",33912
"0.69",33884
"1.84",33854
"1.83",33782
"1.85",33714
"0.66",33343
"1.86",33250
"1.87",33234
"0.65",33221
"1.88",32933
"1.91",32721
"1.89",32674
"0.63",32644
"1.90",32612
"0.64",32604
"0.62",32281
"1.93",32197
"0.61",32114
"1.92",32051
"0.60",31820
"1.94",31719
"1.95",31669
"0.59",31475
"1.96",31410
"0.58",31314
"1.98",31186
"1.97",31005
"0.57",30975
"2.00",30851
"1.99",30771
"2.01",30674
"0.55",30637
"0.56",30570
"2.02",30434
"2.03",30181
"0.54",29967
"2.04",29962
"2.05",29775
"0.53",29683
"0.52",29546
"2.07",29387
"2.06",29236
"0.51",28933
"2.08",28878
"0.50",28869
"2.10",28868
"2.09",28854
"2.11",28618
"2.12",28349
"0.49",28226
"2.13",28113
"0.48",27981
"2.14",27834
"0.47",27687
"2.15",27534
"2.16",27339
"0.46",27198
"2.18",27157
"2.17",27151
"0.45",27047
"0.44",26689
"2.20",26657
"2.19",26642
"0.43",26512
"2.21",26408
"2.22",26146
"0.42",26043
"2.23",25959
"2.24",25804
"2.25",25780
"2.26",25480
"0.41",25384
"0.40",25268
"2.27",25190
"0.39",25180
"2.29",25147
"2.28",25027
"0.37",24639
"2.31",24510
"2.30",24394
"0.38",24382
"2.33",24209
"2.32",24148
"2.34",24029
"2.35",23761
"0.36",23613
"0.35",23541
"2.36",23428
"2.37",23252
"2.38",23241
"2.39",23066
"0.34",23057
"2.40",22863
"0.33",22813
"2.41",22675
"2.42",22384
"0.32",22325
"2.44",22162
"2.43",22076
"2.45",21928
"0.30",21735
"0.31",21701
"2.46",21625
"2.47",21541
"0.29",21408
"2.48",21248
"2.49",21094
"2.51",20859
"2.50",20680
"0.28",20665
"2.52",20566
"0.27",20459
"2.54",20316
"2.53",20265
"2.55",20192
"0.26",20006
"2.57",19816
"2.56",19810
"2.58",19505
"0.25",19451
"2.61",19168
"2.59",19155
"2.60",19150
"0.24",19094
