"No","Field","cMin","Q1","Median","Mean","Q3","cMax","N","Missing","NUnique","ZeroVariation","Zero","NonZero","Min","Max"
"1","record_id","1","7","7","7.312","8","8","16145383","0","16145383","","0","0","0","0"
"2","vin_id","1","7","7","6.859","7","7","16145383","0","4505838","","0","0","0","0"
"3","plate_id","1","7","7","6.874","7","7","16145383","0","5206546","","0","0","0","0"
"4","me_id","1","7","7","7.346","8","8","16145383","0","15005642","","0","0","0","0"
"5","owner_type","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"6","start_odom","1","5","5","5.074","5","7","10932269","5213114","284874","0: 9176","9176","16136207","1","2246201"
"7","start_date","10","10","10","10","10","10","16145383","0","2160","","0","0","0","0"
"8","end_date","10","10","10","10","10","10","16145383","0","1484","","0","0","0","0"
"9","insp_match","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"10","ovrlp_days","1","3","3","2.813","3","4","16145383","0","1804","0: 24038","24038","16121329","1","2042"
"11","daysbtnins","1","3","3","3.034","3","4","16145383","0","2166","0: 24020","24020","16121363","1","2186"
"12","ovrlp_pct","1","3","3","3.648","5","5","10932269","5213114","9991","0: 17519","17519","16127856","0.05","100"
"13","mi_per_day","1","1","5","3.559","5","10","16145383","0","68104","0: 5239307","5239307","10906076","0.01","2178324.67"
"14","muni_id","1","2","3","2.424","3","3","16145383","0","352","0: 2181671","2181671","13963712","1","351"
"15","veh_zip","5","5","5","5","5","5","16145383","0","2943","00000: 2179663","2179663","13965720","1001","99999"
"16","insp_year","4","4","4","4","4","4","16145383","0","6",": ","0","16145383","2006","2011"
"17","model_year","4","4","4","4","4","4","16012224","133159","34",": ","0","16145383","1980","2012"
"18","make","2","5","6","5.836","7","17","15957661","187722","236","","0","0","0","0"
"19","model","1","5","6","7.13","8","29","15679772","465611","1362","","0","0","0","0"
"20","veh_type","3","3","3","3.235","3","5","15319342","826041","6","","0","0","0","0"
"21","mcycle","1","1","1","1","1","1","57779","16087604","2","","0","0","0","0"
"22","hybrid","1","1","1","1","1","1","15957783","187600","3","","0","0","0","0"
"23","curbwt","4","4","4","4","4","4","15305841","839542","71",": ","0","16145383","1400","8700"
"24","msrp","1","5","5","4.979","5","6","15467433","677950","254","0: 61410","61410","16083973","1000","645000"
"25","mpg2008","1","2","2","1.999","2","2","15025254","1120129","45",": ","0","16145383","8","62"
"26","fuel","5","8","8","7.968","8","8","15618537","526846","6","","0","0","0","0"
"27","mpg_adj","4","5","5","4.989","5","5","15025254","1120129","827",": ","0","16145383","5.01","62"
"28","gal_perday","4","4","4","4.009","4","8","15025254","1120129","12914","0.00: 4799955","4799955","11345428","0.01","46951.17"
"29","co2eqv_day","4","4","4","4.481","5","9","15025254","1120129","45420","0.00: 4796465","4796465","11348918","0.01","425182.17"
"30","q1_2008","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"31","q2_2008","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"32","q3_2008","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"33","q4_2008","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"34","q1_2009","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"35","q2_2009","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"36","q3_2009","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"37","q4_2009","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"38","q1_2010","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"39","q2_2010","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"40","q3_2010","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"41","q4_2010","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"42","q1_2011","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"43","q2_2011","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"44","q3_2011","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
"45","q4_2011","1","1","1","1","1","1","16145383","0","2","","0","0","0","0"
